id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
1,simple,405707239744,Επιλογής Νυχάκι,1,1,1,,,,,,,1,0,0,,,0,,,2.22,1000,,,,,,,,Επιλογής Νυχάκι.jpg,,,,,,,,
2,simple,486682796466,Επιλογής Γλασέ,1,1,1,,,,,,,1,0,0,,,0,,,4.16,1000,,,,,,,,Επιλογής Γλασέ.jpg,,,,,,,,
4,simple,687853619777,Crownfield Corn Flakes,1,1,1,,,,,,,1,0,0,,,0,,,3.55,1000,,,,,,,,Crownfield Corn Flakes.jpg,,,,,,,,
5,simple,225904770511,Crownfield Special Flakes,1,1,1,,,,,,,1,0,0,,,0,,,2.51,1000,,,,,,,,Crownfield Special Flakes.jpg,,,,,,,,
6,simple,410252465208,Eviva 100% Natural Orange Juice,1,1,1,,,,,,,1,0,0,,,0,,,3.33,1000,,,,,,,,Eviva 100% Natural Orange Juice.jpg,,,,,,,,
8,simple,481863251808,Combino Spaghetti,1,1,1,,,,,,,1,0,0,,,0,,,4.36,1000,,,,,,,,Combino Spaghetti.jpg,,,,,,,,
10,simple,448980244709,Γ. Χαραλάμπους Χρυσός,1,1,1,,,,,,,1,0,0,,,0,,,2.60,1000,,,,,,,,Γ. Χαραλάμπους Χρυσός.jpg,,,,,,,,
11,simple,778598204627,Επιλογής Medium Beans,1,1,1,,,,,,,1,0,0,,,0,,,3.49,1000,,,,,,,,Επιλογής Medium Beans.jpg,,,,,,,,
14,simple,912539079918,Additiva Vitamin C,1,1,1,,,,,,,1,0,0,,,0,,,4.12,1000,,,,,,,,Additiva Vitamin C.jpg,,,,,,,,
15,simple,787757944429,Sondey Πτι Μπερ,1,1,1,,,,,,,1,0,0,,,0,,,4.57,1000,,,,,,,,Sondey Πτι Μπερ.jpg,,,,,,,,
17,simple,116032123174,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour,1,1,1,,,,,,,1,0,0,,,0,,,3.60,1000,,,,,,,,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour.jpg,,,,,,,,
18,simple,120618254332,Ζωή All Purpose Flour,1,1,1,,,,,,,1,0,0,,,0,,,3.68,1000,,,,,,,,Ζωή All Purpose Flour.jpg,,,,,,,,
20,simple,459360085715,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο,1,1,1,,,,,,,1,0,0,,,0,,,3.65,1000,,,,,,,,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο.jpg,,,,,,,,
