id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
1,simple,,Επιλογής Νυχάκι,1,0,visible,,,,,taxable,,1,0,0,,,0,,,3.99,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Επιλογής Νυχάκι.jpg,,,,,,,,
2,simple,,Επιλογής Γλασέ,1,0,visible,,,,,taxable,,1,0,0,,,0,,,4.39,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Επιλογής Γλασέ.jpg,,,,,,,,
4,simple,,Crownfield Corn Flakes,1,0,visible,,,,,taxable,,1,0,0,,,0,,,3.66,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Crownfield Corn Flakes.jpg,,,,,,,,
5,simple,,Crownfield Special Flakes,1,0,visible,,,,,taxable,,1,0,0,,,0,,,2.83,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Crownfield Special Flakes.jpg,,,,,,,,
6,simple,,Eviva 100% Natural Orange Juice,1,0,visible,,,,,taxable,,1,0,0,,,0,,,2.73,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Eviva 100% Natural Orange Juice.jpg,,,,,,,,
8,simple,,Combino Spaghetti,1,0,visible,,,,,taxable,,1,0,0,,,0,,,2.51,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Combino Spaghetti.jpg,,,,,,,,
10,simple,,Γ. Χαραλάμπους Χρυσός,1,0,visible,,,,,taxable,,1,0,0,,,0,,,5.67,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Γ. Χαραλάμπους Χρυσός.jpg,,,,,,,,
11,simple,,Επιλογής Medium Beans,1,0,visible,,,,,taxable,,1,0,0,,,0,,,3.43,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Επιλογής Medium Beans.jpg,,,,,,,,
14,simple,,Additiva Vitamin C,1,0,visible,,,,,taxable,,1,0,0,,,0,,,4.36,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Additiva Vitamin C.jpg,,,,,,,,
15,simple,,Sondey Πτι Μπερ,1,0,visible,,,,,taxable,,1,0,0,,,0,,,4.75,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Sondey Πτι Μπερ.jpg,,,,,,,,
17,simple,,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour,1,0,visible,,,,,taxable,,1,0,0,,,0,,,5.58,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour.jpg,,,,,,,,
18,simple,,Ζωή All Purpose Flour,1,0,visible,,,,,taxable,,1,0,0,,,0,,,3.99,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//Ζωή All Purpose Flour.jpg,,,,,,,,
20,simple,,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο,1,0,visible,,,,,taxable,,1,0,0,,,0,,,5.63,1000,,,,,,,,192.168.30.179//wordpress//wp-content//uploads//2016//09//ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο.jpg,,,,,,,,
