id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
1,simple,160098544432,Επιλογής Νυχάκι,1,1,1,,,,,,,1,0,0,,,0,,,4.03,1000,,,,,,,,Επιλογής Νυχάκι.jpg,,,,,,,,
2,simple,245055956690,Επιλογής Γλασέ,1,1,1,,,,,,,1,0,0,,,0,,,4.73,1000,,,,,,,,Επιλογής Γλασέ.jpg,,,,,,,,
4,simple,634142439665,Crownfield Corn Flakes,1,1,1,,,,,,,1,0,0,,,0,,,3.03,1000,,,,,,,,Crownfield Corn Flakes.jpg,,,,,,,,
5,simple,853189258606,Crownfield Special Flakes,1,1,1,,,,,,,1,0,0,,,0,,,5.59,1000,,,,,,,,Crownfield Special Flakes.jpg,,,,,,,,
6,simple,554991680274,Eviva 100% Natural Orange Juice,1,1,1,,,,,,,1,0,0,,,0,,,3.68,1000,,,,,,,,Eviva 100% Natural Orange Juice.jpg,,,,,,,,
8,simple,801252365630,Combino Spaghetti,1,1,1,,,,,,,1,0,0,,,0,,,2.86,1000,,,,,,,,Combino Spaghetti.jpg,,,,,,,,
10,simple,745912612775,Γ. Χαραλάμπους Χρυσός,1,1,1,,,,,,,1,0,0,,,0,,,2.24,1000,,,,,,,,Γ. Χαραλάμπους Χρυσός.jpg,,,,,,,,
11,simple,447483989825,Επιλογής Medium Beans,1,1,1,,,,,,,1,0,0,,,0,,,3.07,1000,,,,,,,,Επιλογής Medium Beans.jpg,,,,,,,,
14,simple,349195247227,Additiva Vitamin C,1,1,1,,,,,,,1,0,0,,,0,,,4.53,1000,,,,,,,,Additiva Vitamin C.jpg,,,,,,,,
15,simple,865760532964,Sondey Πτι Μπερ,1,1,1,,,,,,,1,0,0,,,0,,,4.50,1000,,,,,,,,Sondey Πτι Μπερ.jpg,,,,,,,,
17,simple,749657849958,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour,1,1,1,,,,,,,1,0,0,,,0,,,5.09,1000,,,,,,,,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour.jpg,,,,,,,,
18,simple,944697368296,Ζωή All Purpose Flour,1,1,1,,,,,,,1,0,0,,,0,,,3.09,1000,,,,,,,,Ζωή All Purpose Flour.jpg,,,,,,,,
20,simple,299974137647,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο,1,1,1,,,,,,,1,0,0,,,0,,,2.70,1000,,,,,,,,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο.jpg,,,,,,,,
21,simple,560411910792,NAPOLI KAKAO,1,1,1,,,,,,,1,0,0,,,0,,,3.22,1000,,,,,,,,NAPOLI KAKAO.jpg,,,,,,,,
23,simple,812631554664,Dee Thai Dark Soy Sauce,1,1,1,,,,,,,1,0,0,,,0,,,3.11,1000,,,,,,,,Dee Thai Dark Soy Sauce.jpg,,,,,,,,
24,simple,689941415789,Acentino Balsamico di Modena,1,1,1,,,,,,,1,0,0,,,0,,,3.65,1000,,,,,,,,Acentino Balsamico di Modena.jpg,,,,,,,,
25,simple,349316056690,Cadbury Roses,1,1,1,,,,,,,1,0,0,,,0,,,2.07,1000,,,,,,,,Cadbury Roses.jpg,,,,,,,,
26,simple,987901599742,Pril Original,1,1,1,,,,,,,1,0,0,,,0,,,3.88,1000,,,,,,,,Pril Original.jpg,,,,,,,,
27,simple,124169051802,Cadbury Roses,1,1,1,,,,,,,1,0,0,,,0,,,4.56,1000,,,,,,,,Cadbury Roses.jpg,,,,,,,,
31,simple,123024709608,Saint Nicholas Water,1,1,1,,,,,,,1,0,0,,,0,,,3.12,1000,,,,,,,,Saint Nicholas Water.jpg,,,,,,,,
