id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
1,simple,191137794074,Επιλογής Νυχάκι,1,1,1,,,,,,,1,0,0,,,0,,,5.13,1000,,,,,,,,Επιλογής Νυχάκι.jpg,,,,,,,,
2,simple,966875348553,Επιλογής Γλασέ,1,1,1,,,,,,,1,0,0,,,0,,,4.10,1000,,,,,,,,Επιλογής Γλασέ.jpg,,,,,,,,
4,simple,640245221558,Crownfield Corn Flakes,1,1,1,,,,,,,1,0,0,,,0,,,4.61,1000,,,,,,,,Crownfield Corn Flakes.jpg,,,,,,,,
5,simple,977680158039,Crownfield Special Flakes,1,1,1,,,,,,,1,0,0,,,0,,,2.77,1000,,,,,,,,Crownfield Special Flakes.jpg,,,,,,,,
6,simple,217086792108,Eviva 100% Natural Orange Juice,1,1,1,,,,,,,1,0,0,,,0,,,4.39,1000,,,,,,,,Eviva 100% Natural Orange Juice.jpg,,,,,,,,
8,simple,264407131363,Combino Spaghetti,1,1,1,,,,,,,1,0,0,,,0,,,4.57,1000,,,,,,,,Combino Spaghetti.jpg,,,,,,,,
10,simple,103726427219,Γ. Χαραλάμπους Χρυσός,1,1,1,,,,,,,1,0,0,,,0,,,1.84,1000,,,,,,,,Γ. Χαραλάμπους Χρυσός.jpg,,,,,,,,
11,simple,161403717818,Επιλογής Medium Beans,1,1,1,,,,,,,1,0,0,,,0,,,5.16,1000,,,,,,,,Επιλογής Medium Beans.jpg,,,,,,,,
14,simple,420246099841,Additiva Vitamin C,1,1,1,,,,,,,1,0,0,,,0,,,1.98,1000,,,,,,,,Additiva Vitamin C.jpg,,,,,,,,
15,simple,929325464655,Sondey Πτι Μπερ,1,1,1,,,,,,,1,0,0,,,0,,,4.68,1000,,,,,,,,Sondey Πτι Μπερ.jpg,,,,,,,,
17,simple,344152807975,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour,1,1,1,,,,,,,1,0,0,,,0,,,4.87,1000,,,,,,,,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour.jpg,,,,,,,,
18,simple,202111450970,Ζωή All Purpose Flour,1,1,1,,,,,,,1,0,0,,,0,,,4.72,1000,,,,,,,,Ζωή All Purpose Flour.jpg,,,,,,,,
20,simple,516370361319,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο,1,1,1,,,,,,,1,0,0,,,0,,,4.03,1000,,,,,,,,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο.jpg,,,,,,,,
21,simple,267878274043,NAPOLI KAKAO,1,1,1,,,,,,,1,0,0,,,0,,,2.78,1000,,,,,,,,NAPOLI KAKAO.jpg,,,,,,,,
23,simple,185650654682,Dee Thai Dark Soy Sauce,1,1,1,,,,,,,1,0,0,,,0,,,5.12,1000,,,,,,,,Dee Thai Dark Soy Sauce.jpg,,,,,,,,
24,simple,341681473921,Acentino Balsamico di Modena,1,1,1,,,,,,,1,0,0,,,0,,,4.26,1000,,,,,,,,Acentino Balsamico di Modena.jpg,,,,,,,,
25,simple,596808404496,Cadbury Roses,1,1,1,,,,,,,1,0,0,,,0,,,5.30,1000,,,,,,,,Cadbury Roses.jpg,,,,,,,,
