id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
1,simple,425179594084,Επιλογής Νυχάκι,1,1,1,,,,,,,1,0,0,,,0,,,5.19,1000,,,,,,,,Επιλογής Νυχάκι.jpg,,,,,,,,
2,simple,105045431309,Επιλογής Γλασέ,1,1,1,,,,,,,1,0,0,,,0,,,2.56,1000,,,,,,,,Επιλογής Γλασέ.jpg,,,,,,,,
4,simple,818119948935,Crownfield Corn Flakes,1,1,1,,,,,,,1,0,0,,,0,,,3.45,1000,,,,,,,,Crownfield Corn Flakes.jpg,,,,,,,,
5,simple,675070432092,Crownfield Special Flakes,1,1,1,,,,,,,1,0,0,,,0,,,5.05,1000,,,,,,,,Crownfield Special Flakes.jpg,,,,,,,,
6,simple,976590335120,Eviva 100% Natural Orange Juice,1,1,1,,,,,,,1,0,0,,,0,,,3.64,1000,,,,,,,,Eviva 100% Natural Orange Juice.jpg,,,,,,,,
8,simple,213225116200,Combino Spaghetti,1,1,1,,,,,,,1,0,0,,,0,,,4.02,1000,,,,,,,,Combino Spaghetti.jpg,,,,,,,,
10,simple,131798003969,Γ. Χαραλάμπους Χρυσός,1,1,1,,,,,,,1,0,0,,,0,,,3.97,1000,,,,,,,,Γ. Χαραλάμπους Χρυσός.jpg,,,,,,,,
11,simple,363170469208,Επιλογής Medium Beans,1,1,1,,,,,,,1,0,0,,,0,,,4.63,1000,,,,,,,,Επιλογής Medium Beans.jpg,,,,,,,,
14,simple,771410371721,Additiva Vitamin C,1,1,1,,,,,,,1,0,0,,,0,,,3.97,1000,,,,,,,,Additiva Vitamin C.jpg,,,,,,,,
15,simple,302229910902,Sondey Πτι Μπερ,1,1,1,,,,,,,1,0,0,,,0,,,5.66,1000,,,,,,,,Sondey Πτι Μπερ.jpg,,,,,,,,
