id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
1,simple,930819873668,Επιλογής Νυχάκι,1,1,1,,,,,,,1,0,0,,,0,,,4.98,1000,,,,,,,,Επιλογής Νυχάκι.jpg,,,,,,,,
2,simple,966096998870,Επιλογής Γλασέ,1,1,1,,,,,,,1,0,0,,,0,,,2.78,1000,,,,,,,,Επιλογής Γλασέ.jpg,,,,,,,,
4,simple,637069915261,Crownfield Corn Flakes,1,1,1,,,,,,,1,0,0,,,0,,,3.03,1000,,,,,,,,Crownfield Corn Flakes.jpg,,,,,,,,
5,simple,642539631149,Crownfield Special Flakes,1,1,1,,,,,,,1,0,0,,,0,,,4.82,1000,,,,,,,,Crownfield Special Flakes.jpg,,,,,,,,
6,simple,482730953516,Eviva 100% Natural Orange Juice,1,1,1,,,,,,,1,0,0,,,0,,,3.72,1000,,,,,,,,Eviva 100% Natural Orange Juice.jpg,,,,,,,,
8,simple,461576205909,Combino Spaghetti,1,1,1,,,,,,,1,0,0,,,0,,,6.08,1000,,,,,,,,Combino Spaghetti.jpg,,,,,,,,
10,simple,978652183992,Γ. Χαραλάμπους Χρυσός,1,1,1,,,,,,,1,0,0,,,0,,,4.04,1000,,,,,,,,Γ. Χαραλάμπους Χρυσός.jpg,,,,,,,,
11,simple,294325214859,Επιλογής Medium Beans,1,1,1,,,,,,,1,0,0,,,0,,,2.80,1000,,,,,,,,Επιλογής Medium Beans.jpg,,,,,,,,
14,simple,951645816313,Additiva Vitamin C,1,1,1,,,,,,,1,0,0,,,0,,,2.71,1000,,,,,,,,Additiva Vitamin C.jpg,,,,,,,,
15,simple,781525917943,Sondey Πτι Μπερ,1,1,1,,,,,,,1,0,0,,,0,,,4.16,1000,,,,,,,,Sondey Πτι Μπερ.jpg,,,,,,,,
