id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
1,simple,983678941532,Επιλογής Νυχάκι,1,1,1,,,,,,,1,0,0,,,0,,,3.99,1000,,,,,,,,Επιλογής Νυχάκι.jpg,,,,,,,,
2,simple,137724091252,Επιλογής Γλασέ,1,1,1,,,,,,,1,0,0,,,0,,,4.39,1000,,,,,,,,Επιλογής Γλασέ.jpg,,,,,,,,
4,simple,587175679325,Crownfield Corn Flakes,1,1,1,,,,,,,1,0,0,,,0,,,3.66,1000,,,,,,,,Crownfield Corn Flakes.jpg,,,,,,,,
5,simple,862862708615,Crownfield Special Flakes,1,1,1,,,,,,,1,0,0,,,0,,,2.83,1000,,,,,,,,Crownfield Special Flakes.jpg,,,,,,,,
6,simple,110397563874,Eviva 100% Natural Orange Juice,1,1,1,,,,,,,1,0,0,,,0,,,2.73,1000,,,,,,,,Eviva 100% Natural Orange Juice.jpg,,,,,,,,
8,simple,609260414742,Combino Spaghetti,1,1,1,,,,,,,1,0,0,,,0,,,2.51,1000,,,,,,,,Combino Spaghetti.jpg,,,,,,,,
10,simple,486171356403,Γ. Χαραλάμπους Χρυσός,1,1,1,,,,,,,1,0,0,,,0,,,5.67,1000,,,,,,,,Γ. Χαραλάμπους Χρυσός.jpg,,,,,,,,
11,simple,225837600554,Επιλογής Medium Beans,1,1,1,,,,,,,1,0,0,,,0,,,3.43,1000,,,,,,,,Επιλογής Medium Beans.jpg,,,,,,,,
14,simple,663308255030,Additiva Vitamin C,1,1,1,,,,,,,1,0,0,,,0,,,4.36,1000,,,,,,,,Additiva Vitamin C.jpg,,,,,,,,
15,simple,740003992256,Sondey Πτι Μπερ,1,1,1,,,,,,,1,0,0,,,0,,,4.75,1000,,,,,,,,Sondey Πτι Μπερ.jpg,,,,,,,,
17,simple,753648948600,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour,1,1,1,,,,,,,1,0,0,,,0,,,5.58,1000,,,,,,,,ΧΡΥΣΟΣ ΜΥΛΟΣ All Purpose Flour.jpg,,,,,,,,
18,simple,731937396990,Ζωή All Purpose Flour,1,1,1,,,,,,,1,0,0,,,0,,,3.99,1000,,,,,,,,Ζωή All Purpose Flour.jpg,,,,,,,,
20,simple,114926721949,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο,1,1,1,,,,,,,1,0,0,,,0,,,5.63,1000,,,,,,,,ΝΟΥΝΟΥ Ζαχαρούχο Γάλα Συμπυκνωμένο.jpg,,,,,,,,
21,simple,428061939734,NAPOLI KAKAO,1,1,1,,,,,,,1,0,0,,,0,,,5.22,1000,,,,,,,,NAPOLI KAKAO.jpg,,,,,,,,
23,simple,178503515999,Dee Thai Dark Soy Sauce,1,1,1,,,,,,,1,0,0,,,0,,,4.71,1000,,,,,,,,Dee Thai Dark Soy Sauce.jpg,,,,,,,,
